"Woonplaatsen";"Woonplaatscode (Code)";"Gemeentenaam";"Gemeente/Code  (Code)"
"Kapel Avezaath";"WP2560    ";"Tiel                               ";"GM0281    "
"Kapel-Avezaath";"WP3377    ";"Buren                              ";"GM0214    "
"Kapelle";"WP1467    ";"Kapelle                            ";"GM0678    "
"Kapellebrug";"WP3090    ";"Hulst                              ";"GM0677    "
"Katlijk";"WP2192    ";"Heerenveen                         ";"GM0074    "
"Kats";"WP3192    ";"Noord-Beveland                     ";"GM1695    "
"Kattendijke";"WP1825    ";"Goes                               ";"GM0664    "
"Katwijk";"WP1707    ";"Katwijk                            ";"GM0537    "
"Katwijk NB";"WP1452    ";"Cuijk                              ";"GM1684    "
"Katwoude";"WP1942    ";"Waterland                          ";"GM0852    "
"Kedichem";"WP2273    ";"Leerdam                            ";"GM0545    "
"Keent";"WP3264    ";"Oss                                ";"GM0828    "
"Keijenborg";"WP1536    ";"Bronckhorst                        ";"GM1876    "
"Kekerdom";"WP2875    ";"Berg en Dal                        ";"GM1945    "
"Kelpen-Oler";"WP2951    ";"Leudal                             ";"GM1640    "
"Kerk Avezaath";"WP2561    ";"Tiel                               ";"GM0281    "
"Kerk-Avezaath";"WP3378    ";"Buren                              ";"GM0214    "
"Kerkdriel";"WP1629    ";"Maasdriel                          ";"GM0263    "
"Kerkenveld";"WP3166    ";"De Wolden                          ";"GM1690    "
"Kerkrade";"WP2649    ";"Kerkrade                           ";"GM0928    "
"Kerkwerve";"WP2679    ";"Schouwen-Duiveland                 ";"GM1676    "
"Kerkwijk";"WP2632    ";"Zaltbommel                         ";"GM0297    "
"Kessel";"WP1699    ";"Peel en Maas                       ";"GM1894    "
"Kesteren";"WP1096    ";"Neder-Betuwe                       ";"GM1740    "
"De Kiel";"WP2151    ";"Coevorden                          ";"GM0109    "
"Kiel-Windeweer";"WP1019    ";"Midden-Groningen                   ";"GM1952    "
"Kilder";"WP2207    ";"Montferland                        ";"GM1955    "
"Kimswerd";"WP2314    ";"Súdwest-Fryslân                    ";"GM1900    "
"Kinderdijk";"WP2794    ";"Molenwaard                         ";"GM1927    "
"Kinnum";"WP2624    ";"Terschelling                       ";"GM0093    "
"Klaaswaal";"WP2371    ";"Cromstrijen                        ";"GM0611    "
"Klarenbeek";"WP2248    ";"Apeldoorn                          ";"GM0200    "
"Klarenbeek";"WP2606    ";"Voorst                             ";"GM0285    "
"Klazienaveen";"WP1991    ";"Emmen                              ";"GM0114    "
"Klazienaveen-Noord";"WP1992    ";"Emmen                              ";"GM0114    "
"Klein Zundert";"WP3492    ";"Zundert                            ";"GM0879    "
"Klijndijk";"WP1796    ";"Borger-Odoorn                      ";"GM1681    "
"Klimmen";"WP1853    ";"Voerendaal                         ";"GM0986    "
"Kloetinge";"WP1826    ";"Goes                               ";"GM0664    "
"Kloetinge";"WP1468    ";"Kapelle                            ";"GM0678    "
"De Klomp";"WP2770    ";"Ede                                ";"GM0228    "
"Klooster Lidlum";"WP1376    ";"Waadhoeke                          ";"GM1949    "
"Kloosterburen";"WP3418    ";"De Marne                           ";"GM1663    "
"Kloosterhaar";"WP3323    ";"Twenterand                         ";"GM1700    "
"Kloosterhaar";"WP1555    ";"Hardenberg                         ";"GM0160    "
"Kloosterzande";"WP3100    ";"Hulst                              ";"GM0677    "
"Klundert";"WP1319    ";"Moerdijk                           ";"GM1709    "
"Knegsel";"WP2994    ";"Eersel                             ";"GM0770    "
"De Knipe";"WP2190    ";"Heerenveen                         ";"GM0074    "
"Koarnjum";"WP3229    ";"Leeuwarden                         ";"GM0080    "
"Kockengen";"WP1393    ";"Stichtse Vecht                     ";"GM1904    "
"Koedijk";"WP1120    ";"Langedijk                          ";"GM0416    "
"Koedijk";"WP2349    ";"Alkmaar                            ";"GM0361    "
"Koekange";"WP3167    ";"De Wolden                          ";"GM1690    "
"Koewacht";"WP1131    ";"Terneuzen                          ";"GM0715    "
"Kolderwolde";"WP1677    ";"De Fryske Marren                   ";"GM1940    "
"Kolham";"WP1351    ";"Midden-Groningen                   ";"GM1952    "
"Kolhorn";"WP2516    ";"Hollands Kroon                     ";"GM1911    "
"Kollum";"WP3309    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Kollumerpomp";"WP3310    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Kollumerzwaag";"WP3311    ";"Kollumerland en Nieuwkruisland     ";"GM0079    "
"Kommerzijl";"WP2119    ";"Zuidhorn                           ";"GM0056    "
"Koningsbosch";"WP2042    ";"Echt-Susteren                      ";"GM1711    "
"Koningslust";"WP3442    ";"Peel en Maas                       ";"GM1894    "
"De Koog";"WP2738    ";"Texel                              ";"GM0448    "
"Koog aan de Zaan";"WP1879    ";"Zaanstad                           ";"GM0479    "
"Kootstertille";"WP3179    ";"Achtkarspelen                      ";"GM0059    "
"Kootwijk";"WP1062    ";"Barneveld                          ";"GM0203    "
"Kootwijkerbroek";"WP1056    ";"Barneveld                          ";"GM0203    "
"Kornhorn";"WP2176    ";"Grootegast                         ";"GM0015    "
"Kornwerderzand";"WP2315    ";"Súdwest-Fryslân                    ";"GM1900    "
"Kortehemmen";"WP3283    ";"Smallingerland                     ";"GM0090    "
"Kortenhoef";"WP3526    ";"Wijdemeren                         ";"GM1696    "
"Kortgene";"WP3189    ";"Noord-Beveland                     ";"GM1695    "
"Koudekerk aan den Rijn";"WP2850    ";"Alphen aan den Rijn                ";"GM0484    "
"Koudekerke";"WP2779    ";"Veere                              ";"GM0717    "
"Koudum";"WP1966    ";"Súdwest-Fryslân                    ";"GM1900    "
"Koufurderrige";"WP2413    ";"Súdwest-Fryslân                    ";"GM1900    "
"Krabbendijke";"WP3462    ";"Reimerswaal                        ";"GM0703    "
"Kraggenburg";"WP1275    ";"Noordoostpolder                    ";"GM0171    "
"Kreileroord";"WP2433    ";"Hollands Kroon                     ";"GM1911    "
"Krewerd";"WP3238    ";"Delfzijl                           ";"GM0010    "
"De Krim";"WP1545    ";"Hardenberg                         ";"GM0160    "
"Krimpen aan de Lek";"WP2375    ";"Krimpenerwaard                     ";"GM1931    "
"Krimpen aan den IJssel";"WP1144    ";"Krimpen aan den IJssel             ";"GM0542    "
"Kring van Dorth";"WP1341    ";"Lochem                             ";"GM0262    "
"Krommenie";"WP1880    ";"Zaanstad                           ";"GM0479    "
"Kronenberg";"WP1516    ";"Horst aan de Maas                  ";"GM1507    "
"Kropswolde";"WP1020    ";"Midden-Groningen                   ";"GM1952    "
"Kruiningen";"WP3463    ";"Reimerswaal                        ";"GM0703    "
"Kruisland";"WP1403    ";"Steenbergen                        ";"GM0851    "
"Kûbaard";"WP2024    ";"Súdwest-Fryslân                    ";"GM1900    "
"Kudelstaart";"WP2572    ";"Aalsmeer                           ";"GM0358    "
"Kuinre";"WP2704    ";"Steenwijkerland                    ";"GM1708    "
"Kuitaart";"WP3097    ";"Hulst                              ";"GM0677    "
"Kwadendamme";"WP1257    ";"Borsele                            ";"GM0654    "
"Kwadijk";"WP1839    ";"Edam-Volendam                      ";"GM0385    "
"De Kwakel";"WP3539    ";"Uithoorn                           ";"GM0451    "
"Kwintsheul";"WP2657    ";"Westland                           ";"GM1783    "
"Laag Zuthem";"WP1495    ";"Raalte                             ";"GM0177    "
"Laag-Keppel";"WP1522    ";"Bronckhorst                        ";"GM1876    "
"Laag-Soeren";"WP1506    ";"Rheden                             ";"GM0275    "
"Lage Mierde";"WP1876    ";"Reusel-De Mierden                  ";"GM1667    "
"Lage Vuursche";"WP1093    ";"Baarn                              ";"GM0308    "
"Lage Zwaluwe";"WP2576    ";"Drimmelen                          ";"GM1719    "
"Lageland";"WP1352    ";"Midden-Groningen                   ";"GM1952    "
"Lageland GN";"WP3636    ";"Groningen                          ";"GM0014    "
"Lambertschaag";"WP3150    ";"Medemblik                          ";"GM0420    "
"Lamswaarde";"WP3099    ";"Hulst                              ";"GM0677    "
"Landerum";"WP2618    ";"Terschelling                       ";"GM0093    "
"Landgraaf";"WP3055    ";"Landgraaf                          ";"GM0882    "
"Landhorst";"WP2080    ";"Sint Anthonis                      ";"GM1702    "
"Landsmeer";"WP1328    ";"Landsmeer                          ";"GM0415    "
"Langbroek";"WP1303    ";"Wijk bij Duurstede                 ";"GM0352    "
"Langedijke";"WP1759    ";"Ooststellingwerf                   ";"GM0085    "
"Langelille";"WP1724    ";"Weststellingwerf                   ";"GM0098    "
"Langelo";"WP1638    ";"Noordenveld                        ";"GM1699    "
"Langenboom";"WP1978    ";"Mill en Sint Hubert                ";"GM0815    "
"Langerak";"WP1808    ";"Molenwaard                         ";"GM1927    "
"Langeveen";"WP1289    ";"Tubbergen                          ";"GM0183    "
"Langeweg";"WP1326    ";"Moerdijk                           ";"GM1709    "
"Langezwaag";"WP3349    ";"Opsterland                         ";"GM0086    "
"Langweer";"WP2494    ";"De Fryske Marren                   ";"GM1940    "
"Laren";"WP1342    ";"Lochem                             ";"GM0262    "
"Laren";"WP2890    ";"Laren                              ";"GM0417    "
"Lathum";"WP1301    ";"Zevenaar                           ";"GM0299    "
"Lattrop-Breklenkamp";"WP1410    ";"Dinkelland                         ";"GM1774    "
"Lauwersoog";"WP3419    ";"De Marne                           ";"GM1663    "
"Lauwerzijl";"WP2120    ";"Zuidhorn                           ";"GM0056    "
"Ledeacker";"WP2081    ";"Sint Anthonis                      ";"GM1702    "
"Leek";"WP2341    ";"Leek                               ";"GM0022    "
"Leende";"WP1315    ";"Heeze-Leende                       ";"GM1658    "
"Leens";"WP3420    ";"De Marne                           ";"GM1663    "
"Leerbroek";"WP2110    ";"Zederik                            ";"GM0707    "
"Leerdam";"WP2271    ";"Leerdam                            ";"GM0545    "
"Leermens";"WP3448    ";"Loppersum                          ";"GM0024    "
"Leersum";"WP3587    ";"Utrechtse Heuvelrug                ";"GM1581    "
"Leeuwarden";"WP3615    ";"Leeuwarden                         ";"GM0080    "
"Legemeer";"WP2495    ";"De Fryske Marren                   ";"GM1940    "
"Leiden";"WP2088    ";"Leiden                             ";"GM0546    "
"Leiderdorp";"WP2112    ";"Leiderdorp                         ";"GM0547    "
"Leidschendam";"WP1621    ";"Leidschendam-Voorburg              ";"GM1916    "
"Leimuiden";"WP3541    ";"Kaag en Braassem                   ";"GM1884    "
"Leimuiderbrug";"WP1605    ";"Haarlemmermeer                     ";"GM0394    "
"Lekkerkerk";"WP2376    ";"Krimpenerwaard                     ";"GM1931    "
"Lekkum";"WP1198    ";"Leeuwarden                         ";"GM0080    "
"Lellens";"WP1835    ";"Ten Boer                           ";"GM0009    "
"Lelystad";"WP1051    ";"Lelystad                           ";"GM0995    "
"Lemele";"WP2552    ";"Ommen                              ";"GM0175    "
"Lemelerveld";"WP1238    ";"Dalfsen                            ";"GM0148    "
"Lemiers";"WP1430    ";"Vaals                              ";"GM0981    "
"Lemmer";"WP2245    ";"De Fryske Marren                   ";"GM1940    "
"Lengel";"WP2208    ";"Montferland                        ";"GM1955    "
"Lent";"WP2545    ";"Nijmegen                           ";"GM0268    "
"Leons";"WP2025    ";"Leeuwarden                         ";"GM0080    "
"Lepelstraat";"WP1939    ";"Bergen op Zoom                     ";"GM0748    "
"Lettelbert";"WP2342    ";"Leek                               ";"GM0022    "
"Lettele";"WP2858    ";"Deventer                           ";"GM0150    "
"Leunen";"WP2330    ";"Venray                             ";"GM0984    "
"Leur";"WP2567    ";"Wijchen                            ";"GM0296    "
"Leusden";"WP2638    ";"Leusden                            ";"GM0327    "
"Leuth";"WP2876    ";"Berg en Dal                        ";"GM1945    "
"Leutingewolde";"WP1639    ";"Noordenveld                        ";"GM1699    "
"Leuvenheim";"WP1112    ";"Brummen                            ";"GM0213    "
"Leveroy";"WP2040    ";"Nederweert                         ";"GM0946    "
"Lewedorp";"WP1258    ";"Borsele                            ";"GM0654    "
"Lexmond";"WP2105    ";"Zederik                            ";"GM0707    "
"Lichtaard";"WP3207    ";"Ferwerderadiel                     ";"GM1722    "
"Lichtenvoorde";"WP2227    ";"Oost Gelre                         ";"GM1586    "
"Liempde";"WP2440    ";"Boxtel                             ";"GM0757    "
"Lienden";"WP3379    ";"Buren                              ";"GM0214    "
"De Lier";"WP2655    ";"Westland                           ";"GM1783    "
"Lierderholthuis";"WP1496    ";"Raalte                             ";"GM0177    "
"Lieren";"WP2250    ";"Apeldoorn                          ";"GM0200    "
"Lierop";"WP2746    ";"Someren                            ";"GM0847    "
"Lies";"WP2616    ";"Terschelling                       ";"GM0093    "
"Lieshout";"WP1447    ";"Laarbeek                           ";"GM1659    "
"Liessel";"WP1776    ";"Deurne                             ";"GM0762    "
"Lievelde";"WP2225    ";"Oost Gelre                         ";"GM1586    "
"Lieveren";"WP1640    ";"Noordenveld                        ";"GM1699    "
"Lijnden";"WP1616    ";"Haarlemmermeer                     ";"GM0394    "
"Limbricht";"WP2815    ";"Sittard-Geleen                     ";"GM1883    "
"Limmen";"WP2270    ";"Castricum                          ";"GM0383    "
"Linde";"WP3168    ";"De Wolden                          ";"GM1690    "
"Linden";"WP1453    ";"Cuijk                              ";"GM1684    "
"Linne";"WP1921    ";"Maasgouw                           ";"GM1641    "
"Linschoten";"WP1963    ";"Montfoort                          ";"GM0335    "
"Lioessens";"WP3401    ";"Dongeradeel                        ";"GM0058    "
